run_accession;sample_accession;fastq_ftp;sample_alias
DRR234835;SAMD00232030;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234835/DRR234835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234835/DRR234835_2.fastq.gz";SAMD00232030
DRR234836;SAMD00232031;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234836/DRR234836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234836/DRR234836_2.fastq.gz";SAMD00232031
DRR234837;SAMD00232032;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234837/DRR234837_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234837/DRR234837_2.fastq.gz";SAMD00232032
DRR234838;SAMD00232033;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234838/DRR234838_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234838/DRR234838_2.fastq.gz";SAMD00232033
DRR234839;SAMD00232034;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234839/DRR234839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234839/DRR234839_2.fastq.gz";SAMD00232034
DRR234840;SAMD00232035;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234840/DRR234840_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234840/DRR234840_2.fastq.gz";SAMD00232035
DRR234841;SAMD00232036;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234841/DRR234841_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234841/DRR234841_2.fastq.gz";SAMD00232036
DRR234842;SAMD00232037;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234842/DRR234842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234842/DRR234842_2.fastq.gz";SAMD00232037
DRR234843;SAMD00232038;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234843/DRR234843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234843/DRR234843_2.fastq.gz";SAMD00232038
DRR234844;SAMD00232039;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234844/DRR234844_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234844/DRR234844_2.fastq.gz";SAMD00232039
DRR234845;SAMD00232040;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234845/DRR234845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234845/DRR234845_2.fastq.gz";SAMD00232040
DRR234846;SAMD00232041;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234846/DRR234846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234846/DRR234846_2.fastq.gz";SAMD00232041
DRR234847;SAMD00232042;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234847/DRR234847_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234847/DRR234847_2.fastq.gz";SAMD00232042
DRR234848;SAMD00232043;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234848/DRR234848_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234848/DRR234848_2.fastq.gz";SAMD00232043
DRR234849;SAMD00232044;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234849/DRR234849_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234849/DRR234849_2.fastq.gz";SAMD00232044
DRR234850;SAMD00232045;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234850/DRR234850_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234850/DRR234850_2.fastq.gz";SAMD00232045
DRR234851;SAMD00232046;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234851/DRR234851_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234851/DRR234851_2.fastq.gz";SAMD00232046
DRR234852;SAMD00232047;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234852/DRR234852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234852/DRR234852_2.fastq.gz";SAMD00232047
DRR234853;SAMD00232048;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234853/DRR234853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234853/DRR234853_2.fastq.gz";SAMD00232048
DRR234854;SAMD00232049;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234854/DRR234854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234854/DRR234854_2.fastq.gz";SAMD00232049
DRR234855;SAMD00232050;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234855/DRR234855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234855/DRR234855_2.fastq.gz";SAMD00232050
DRR234856;SAMD00232051;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234856/DRR234856_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234856/DRR234856_2.fastq.gz";SAMD00232051
DRR234857;SAMD00232052;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234857/DRR234857_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234857/DRR234857_2.fastq.gz";SAMD00232052
DRR234858;SAMD00232053;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234858/DRR234858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234858/DRR234858_2.fastq.gz";SAMD00232053
DRR234859;SAMD00232054;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234859/DRR234859_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234859/DRR234859_2.fastq.gz";SAMD00232054
DRR234860;SAMD00232055;"ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234860/DRR234860_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR234/DRR234860/DRR234860_2.fastq.gz";SAMD00232055
